날짜,요일,홈,방문,구장,관중수
2017/03/31,금,두산,한화,잠실,"21,121"
2017/03/31,금,삼성,KIA,대구,"13,505"
2017/03/31,금,SK,KT,문학,"13,649"
2017/03/31,금,넥센,LG,고척,"8,013"
2017/03/31,금,NC,롯데,마산,"11,000"
2017/04/01,토,두산,한화,잠실,"20,636"
2017/04/01,토,삼성,KIA,대구,"10,062"
2017/04/01,토,SK,KT,문학,"11,291"
2017/04/01,토,넥센,LG,고척,"8,889"
2017/04/01,토,NC,롯데,마산,"9,596"
2017/04/02,일,두산,한화,잠실,"22,457"
2017/04/02,일,삼성,KIA,대구,"14,406"
2017/04/02,일,SK,KT,문학,"10,186"
2017/04/02,일,넥센,LG,고척,"9,130"
2017/04/02,일,NC,롯데,마산,"11,000"
2017/04/04,화,한화,NC,대전,"10,597"
2017/04/04,화,KT,두산,수원,"15,804"
2017/04/04,화,KIA,SK,광주,"18,069"
2017/04/04,화,LG,삼성,잠실,"16,411"
2017/04/04,화,롯데,넥센,사직,"24,954"
2017/04/06,목,한화,NC,대전,"6,150"
2017/04/06,목,KT,두산,수원,"4,426"
2017/04/06,목,KIA,SK,광주,"4,211"
2017/04/06,목,LG,삼성,잠실,"12,166"
2017/04/06,목,롯데,넥센,사직,"3,864"
2017/04/07,금,KIA,한화,광주,"8,296"
2017/04/07,금,롯데,LG,사직,"11,191"
2017/04/07,금,SK,NC,문학,"3,492"
2017/04/07,금,KT,삼성,수원,"5,147"
2017/04/07,금,두산,넥센,잠실,"10,027"
2017/04/08,토,KIA,한화,광주,"19,853"
2017/04/08,토,롯데,LG,사직,"22,607"
2017/04/08,토,SK,NC,문학,"9,279"
2017/04/08,토,KT,삼성,수원,"11,031"
2017/04/08,토,두산,넥센,잠실,"15,278"
2017/04/09,일,KIA,한화,광주,"16,614"
2017/04/09,일,롯데,LG,사직,"20,022"
2017/04/09,일,SK,NC,문학,"10,057"
2017/04/09,일,KT,삼성,수원,"13,174"
2017/04/09,일,두산,넥센,잠실,"13,177"
2017/04/11,화,삼성,한화,대구,"5,752"
2017/04/11,화,두산,KIA,잠실,"14,895"
2017/04/11,화,넥센,KT,고척,"2,535"
2017/04/11,화,NC,LG,마산,"4,582"
2017/04/11,화,SK,롯데,문학,"6,745"
2017/04/12,수,삼성,한화,대구,"6,060"
2017/04/12,수,두산,KIA,잠실,"13,649"
2017/04/12,수,넥센,KT,고척,"3,569"
2017/04/12,수,NC,LG,마산,"4,719"
2017/04/12,수,SK,롯데,문학,"6,183"
2017/04/13,목,삼성,한화,대구,"5,446"
2017/04/13,목,두산,KIA,잠실,"16,213"
2017/04/13,목,넥센,KT,고척,"3,802"
2017/04/13,목,NC,LG,마산,"5,134"
2017/04/13,목,SK,롯데,문학,"5,911"
2017/04/14,금,LG,KT,잠실,"9,710"
2017/04/14,금,NC,두산,마산,"4,576"
2017/04/14,금,한화,SK,대전,"6,657"
2017/04/14,금,롯데,삼성,사직,"12,459"
2017/04/14,금,KIA,넥센,광주,"8,098"
2017/04/15,토,LG,KT,잠실,"17,337"
2017/04/15,토,NC,두산,마산,"7,231"
2017/04/15,토,한화,SK,대전,"13,000"
2017/04/15,토,롯데,삼성,사직,"23,997"
2017/04/15,토,KIA,넥센,광주,"16,811"
2017/04/16,일,LG,KT,잠실,"15,224"
2017/04/16,일,NC,두산,마산,"7,069"
2017/04/16,일,한화,SK,대전,"11,090"
2017/04/16,일,롯데,삼성,사직,"20,841"
2017/04/16,일,KIA,넥센,광주,"13,578"
2017/04/18,화,KT,KIA,수원,"6,545"
2017/04/18,화,한화,LG,대전,"5,080"
2017/04/18,화,롯데,NC,사직,"12,252"
2017/04/18,화,두산,삼성,잠실,"6,391"
2017/04/18,화,SK,넥센,문학,"3,244"
2017/04/19,수,KT,KIA,수원,"10,493"
2017/04/19,수,한화,LG,대전,"7,213"
2017/04/19,수,롯데,NC,사직,"10,060"
2017/04/19,수,두산,삼성,잠실,"8,062"
